X(m)	Y(m)	Z(m)	YAW(degree)	PITCH(degree)	ROLL(degree)	PixelVel(x)	PixelVel(y)
0	0	0	0	0	0	-0.03016493	-0.4159614
0	0	0	0	0	0	0.1229803	0.08032227
0	0	0	0	0	0	-0.07231002	0.1584251
0	0	0	0	0	0	0.05343192	-0.07312593
0	0	0	0	0	0	0.008138021	-0.2437221
0	0	0	0	0	0	-0.03735352	-0.06773793
0	0	0	0	0	0	0.03624907	0.08375186
0	0	0	0	0	0	0.0219029	0.05864025
0	0	0	0	0	0	0.05391653	0.07601768
0	0	0	0	0	0	0.009188565	0.06551847
0	0	0	0	0	0	0.06477865	0.101516
0	0	0	0	0	0	0.05245536	0.03373791
0	0	0	0	0	0	0.01533647	-0.04953835
0	0	0	0	0	0	-0.005513509	0.02366129
0	0	0	0	0	0	0.02701823	0.08031064
0	0	0	0	0	0	-0.1869141	-0.04807129
0	0	0	0	0	0	-0.187967	0.05256454
0	0	0	0	0	0	0.06338356	0.04006232
0	0	0	0	0	0	0.08932977	0.160773
0	0	0	0	0	0	0.06463068	0.3845437
0	0	0	0	0	0	-0.1190635	0.4250617
0	0	0	0	0	0	-0.1457391	0.1595652
0	0	0	0	0	0	0.1692708	-0.3022228
0	0	0	0	0	0	-0.3502441	-0.2689453
0	0	0	0	0	0	-0.2638346	0.4753689
0	0	0	0	0	0	0.2184103	1.329017
0	0	0	0	0	0	-0.5089888	-0.1895863
0	0	0	0	0	0	-0.7803467	-0.7770996
0	0	0	0	0	0	-0.4379661	-0.1554066
0	0	0	0	0	0	-0.3965774	0.5434338
0	0	0	0	0	0	-0.1680298	0.3924764
0	0	0	0	0	0	-0.04634426	-0.4081819
0	0	0	0	0	0	0.006503019	-0.4043635
0	0	0	0	0	0	0.1463734	0.3197576
0	0	0	0	0	0	0.3505859	0.2918527
0	0	0	0	0	0	0.3597238	-0.1503209
0	0	0	0	0	0	0.2970748	-0.2466486
0	0	0	0	0	0	0.1987101	0.1785278
0	0	0	0	0	0	0.234436	0.3100179
0	0	0	0	0	0	0.1108611	0.01872453
0	0	0	0	0	0	0.134233	-0.2624734
0	0	0	0	0	0	0.1352095	-0.03566673
0	0	0	0	0	0	0.1610718	0.1720174
0	0	0	0	0	0	0.08300781	0.08822355
0	0	0	0	0	0	0.2430827	-0.07141113
0	0	0	0	0	0	0.55778	-0.1678292
0	0	0	0	0	0	0.4478649	-0.1178755
0	0	0	0	0	0	-0.1058819	-0.02105243
0	0	0	0	0	0	-0.4089648	0.2880469
